Vienna,DATE,Y2013,RA2013,14DA2013,Y2014,RA2014,14DA2014,Y2015,RA2015,14DA2015,Y2016,RA2016,14DA2016,Y2017,RA2017,14DA2017,Y2018,RA2018,14DA2018,Y2019,RA2019,14DA2019,Y2020,RA2020,14DA2020,Y2021,RA2021,14DA2021,Y2022,RA2022,14DA2022,Y2023,RA2023,14DA2023
11082099999,4/24/13,0,0,0.011428571,0,0.091428571,0.076428571,0,0,0.037142857,0,0.012857143,0.042142857,0.03,0.021428571,0.117142857,NaN,0.046666667,0.021538462,0.16,0.022857143,0.073846154,0,0,0.020769231,0,0.051428571,0.033333333,0,0.037142857,0.060714286,0,0,0.016
11082099999,4/25/13,0,0,0.011428571,0,0.062857143,0.079285714,0,0,0.015714286,0.08,0.05,0.042142857,0,0.02,0.111428571,0.04,0.046666667,0.021538462,0,0.026666667,0.073846154,0,0.00125,0.03,0,0.034285714,0.036363636,0,0.068571429,0.063571429,NaN,0,0.016
11082099999,4/26/13,0,0,0,0.09,0.091428571,0.079285714,0,0.017142857,0.021428571,0.01,0.05,0.039285714,0,0.054285714,0.075,0,0.046666667,0.030769231,0,0.026666667,0.073846154,0,0.01125,0.030714286,0,0.017142857,0.053333333,0,0.068571429,0.065,0,0,0.016
11082099999,4/27/13,0,0,0,0.2,0.074285714,0.067857143,0,0.021428571,0.022142857,0,0.05,0.040714286,0,0.042857143,0.05,0.24,0.046666667,0.143076923,0,0.033333333,0.110769231,0,0.01125,0.023571429,0,0,0.049230769,0,0.034285714,0.041428571,0,0,0
11082099999,4/28/13,0,0,0,0,0.074285714,0.053571429,0,0.021428571,0.022142857,0.26,0.05,0.065,0.03,0.038571429,0.052857143,0,0.04,0.143076923,NaN,0.133333333,0.111538462,0,0.02625,0.025384615,0,0.005714286,0.04,0.24,0.034285714,0.040714286,0,0,0
11082099999,4/29/13,0,0.061428571,0,0.2,0.08,0.053571429,0.12,0.022857143,0.022142857,0,0.038571429,0.065714286,0.24,0.038571429,0.052857143,0,0.034285714,0.143076923,0,0.133333333,0.169230769,0.01,0.03125,0.034615385,0,0.006666667,0.031538462,0,0.04,0.041428571,NaN,0,0
11082099999,4/30/13,0,0.095714286,0,0.03,0.067142857,0.042857143,0.03,0.042857143,0.036428571,0,0.065714286,0.065714286,0,0.05,0.047142857,0,0.051428571,0.143076923,0.04,0.133333333,0.175384615,0.08,0.04125,0.040769231,0,0.046666667,0.024166667,0,0.042857143,0.024285714,NaN,0,0
11082099999,5/1/13,0,0.095714286,0,0,0.044285714,0.051428571,0,0.044285714,0.036428571,0,0.068571429,0.065714286,0,0.078571429,0.047857143,0,0.225714286,0.132857143,0.76,0.213333333,0.163076923,0,0.047142857,0.040769231,0.04,0.046666667,0.025,0,0.045714286,0.072142857,0,0,0
11082099999,5/2/13,0.43,0.13,0.061428571,0.04,0.044285714,0.052142857,0.01,0.044285714,0.036428571,0,0.08,0.06,0,0.085714286,0.047857143,0,0.225714286,0.14,0,0.184285714,0.163076923,0.12,0.064285714,0.040769231,NaN,0.046666667,0.025,0.04,0.012857143,0.072142857,0,0,0
11082099999,5/3/13,0.24,0.131428571,0.095714286,0,0.015714286,0.051428571,0.14,0.027142857,0.036428571,0.2,0.081428571,0.059285714,0.08,0.051428571,0.067857143,0.12,0.225714286,0.14,0,0.291428571,0.173846154,0.04,0.074285714,0.040769231,0.24,0.048333333,0.025,0.02,0.014285714,0.072142857,NaN,0,0
