TURANY,DATE,Y2013,RA2013,14DA2013,Y2014,RA2014,14DA2014,Y2015,RA2015,14DA2015,Y2016,RA2016,14DA2016,Y2017,RA2017,14DA2017,Y2018,RA2018,14DA2018,Y2019,RA2019,14DA2019,Y2020,RA2020,14DA2020,Y2021,RA2021,14DA2021,Y2022,RA2022,14DA2022,Y2023,RA2023,14DA2023
11723099999,5/1/13,0,0.141428571,0.131428571,0.01,0.08,0.065,0.04,0.047142857,0.027857143,0,0.06,0.036428571,0,0.148571429,0.110714286,0,0.027142857,0.015,0.07,0.062857143,0.041428571,0.05,0.042857143,0.030714286,0,0.06,0.035,0,0,0.019285714,0,0.078571429,0.057142857
11723099999,5/2/13,0,0.187142857,0.131428571,0,0.08,0.065714286,0.18,0.047142857,0.027857143,0,0.057142857,0.036428571,0.01,0.095714286,0.113571429,0,0.027142857,0.015,0,0.081428571,0.042857143,0.17,0.061428571,0.030714286,0.35,0.06,0.035,0,0.015714286,0.015714286,0,0.078571429,0.056428571
11723099999,5/3/13,0.02,0.191428571,0.131428571,0.55,0.08,0.077142857,0,0.04,0.047142857,0.01,0.057142857,0.036428571,0,0.092857143,0.111428571,0.19,0.027142857,0.015,0.03,0.067142857,0.058571429,0.06,0.061428571,0.030714286,0,0.068571429,0.035,0,0.015714286,0.009285714,0.02,0.074285714,0.053571429
11723099999,5/4/13,0.97,0.214285714,0.143571429,0,0.08,0.078571429,0.02,0.042857143,0.047142857,0.39,0.057142857,0.03,0.54,0.091428571,0.102142857,0,0.027142857,0.025,0.02,0.035714286,0.057857143,0.01,0.06,0.030714286,0,0.06,0.035,0,0.018571429,0.009285714,0,0.031428571,0.053571429
11723099999,5/5/13,0.32,0.262857143,0.172857143,0,0.121428571,0.112857143,0,0.037142857,0.047142857,0,0.057142857,0.028571429,0,0.128571429,0.075714286,0,0.027142857,0.025,0.13,0.025714286,0.080714286,0.13,0.052857143,0.035714286,0,0.06,0.035,0.11,0.018571429,0.009285714,0,0.031428571,0.053571429
11723099999,5/6/13,0.03,0.262857143,0.208571429,0,0.127142857,0.112857143,0.04,0.011428571,0.047142857,0,0.057142857,0.045714286,0.09,0.132857143,0.079285714,0,0.027142857,0.025,0,0.028571429,0.073571429,0,0.028571429,0.035714286,0.06,0.01,0.068571429,0,0.018571429,0.009285714,0,0.031428571,0.057857143
11723099999,5/7/13,0.16,0.26,0.208571429,0,0.074285714,0.12,0.02,0.05,0.052142857,0,0.055714286,0.067142857,0,0.132857143,0.094285714,0,0.002857143,0.025,0,0.055714286,0.057857143,0,0.02,0.070714286,0.01,0.01,0.156428571,0.02,0.018571429,0.009285714,0.2,0.028571429,0.022857143
11723099999,5/8/13,0.34,0.145714286,0.208571429,0.3,0.077142857,0.119285714,0,0.047142857,0.049285714,0,0,0.067142857,0.26,0.055714286,0.094285714,0,0.022857143,0.025714286,0,0.052857143,0.052857143,0,0.018571429,0.07,0,0.01,0.161428571,0,0.018571429,0.009285714,0,0.028571429,0.057142857
11723099999,5/9/13,0,0.158571429,0.208571429,0.04,0.145714286,0.120714286,0,0.047142857,0.036428571,0,0,0.067142857,0.04,0.055714286,0.100714286,0,0.022857143,0.047857143,0.02,0.08,0.067857143,0,0.01,0.084285714,0,0.01,0.166428571,0,0.002857143,0.009285714,0,0.028571429,0.064285714
11723099999,5/10/13,0,0.225714286,0.207142857,0.18,0.145714286,0.095,0.27,0.054285714,0.036428571,0,0.034285714,0.067857143,0,0.065714286,0.100714286,0.02,0.022857143,0.040714286,0.22,0.08,0.065714286,0,0.01,0.08,0,0.068571429,0.166428571,0,0.002857143,0.01,0,0.041428571,0.103571429
11723099999,5/11/13,0.17,0.202857143,0.142142857,0.02,0.16,0.12,0,0.061428571,0.035,0,0.077142857,0.041428571,0,0.097142857,0.062142857,0.14,0.022857143,0.067142857,0,0.08,0.064285714,0,0.081428571,0.079285714,0,0.252857143,0.174285714,0,0,0.044285714,0,0.014285714,0.120714286
11723099999,5/12/13,0.41,0.154285714,0.120714286,0.48,0.117142857,0.128571429,0,0.061428571,0.035,0,0.077142857,0.041428571,0,0.06,0.062142857,0,0.024285714,0.067142857,0.32,0.08,0.055,0.07,0.087142857,0.07,0,0.262857143,0.174285714,0,0,0.036428571,0,0.082857143,0.120714286
11723099999,5/13/13,0.5,0.154285714,0.181428571,0,0.114285714,0.128571429,0.09,0.061428571,0.037142857,0.24,0.077142857,0.041428571,0.16,0.068571429,0.055714286,0,0.068571429,0.080714286,0,0.107142857,0.075,0,0.14,0.07,0.47,0.322857143,0.189285714,0,0,0.036428571,0.09,0.097142857,0.120714286
11723099999,5/14/13,0,0.154285714,0.17,0.1,0.115714286,0.128571429,0.07,0.022857143,0.043571429,0.3,0.08,0.045,0.22,0.068571429,0.055714286,0,0.078571429,0.080714286,0,0.075714286,0.086428571,0.5,0.14,0.07,1.3,0.322857143,0.191428571,0,0.001428571,0.042857143,0.01,0.178571429,0.106428571
